,source,dest,cost,time
935,source-1,N600 (PIPELINE MACH),2181.24,4.29
936,source-1,P020 (TRACSA),2908.32,5.72
937,source-1,P280 (MATCO),2181.24,4.29
938,source-1,N1,3635.4,7.15
939,source-1,N2,3635.4,7.15
940,source-1,N3,2908.32,5.72
941,source-1,N4,2181.24,4.29
942,source-1,N5,1454.16,2.86
943,source-1,N6,727.08,1.43
944,source-1,source-1,727.08,1.43
945,source-1,source-2,1454.16,2.86
946,source-1,source-3,2181.24,4.29
947,source-1,source-4,2181.24,4.29
948,source-1,source-5,3635.4,7.15
949,source-1,source-6,2908.32,5.72
950,source-1,source-7,2908.32,5.72
951,source-1,source-8,2908.32,5.72
952,source-1,source-10,3635.4,7.15
953,source-1,source-11,3635.4,7.15
954,source-2,B010 (ALBAN TRACTOR),2908.32,5.72
955,source-2,B190 (GILES AND RANSOME),2908.32,5.72
956,source-2,B030 (ALTORFER),2181.24,4.29
957,source-2,B150 (CLEVELAND BROS),2181.24,4.29
958,source-2,B160 (FABCO EQ),2181.24,4.29
959,source-2,B170 (FOLEY INC.),2908.32,5.72
960,source-2,B270 (MACALLISTER),2181.24,4.29
961,source-2,B290 (MICHIGAN CAT),2181.24,4.29
962,source-2,B330 (OHIO MACHINERY),2181.24,4.29
963,source-2,B350 (PATTEN IND),2181.24,4.29
964,source-2,B370 (H.O. PENN MCHY),2908.32,5.72
965,source-2,B420 (MILTON CAT),2908.32,5.72
966,source-2,D070 (BLANCHARD MCHY),2908.32,5.72
967,source-2,D090 (CAROLINA TR),2908.32,5.72
968,source-2,D100 (CARTER MCHY),2908.32,5.72
969,source-2,D120 (FABICK TR),2181.24,4.29
970,source-2,D180 (GREGORY POOLE),2908.32,5.72
971,source-2,D241 (LOUISIANA MCHY),1454.16,2.86
972,source-2,D260 (KELLY TRACTOR),2908.32,5.72
973,source-2,D310 (J.A. RIGGS),2181.24,4.29
974,source-2,D350 (RING POWER),2908.32,5.72
975,source-2,D390 (STOWERS MCHY),2908.32,5.72
976,source-2,D420 (THOMPSON MACH),2908.32,5.72
977,source-2,D430 (THOMPSON TR),2181.24,4.29
978,source-2,D440 (PUCKETT MACHY),2908.32,5.72
979,source-2,D470 (CI WALKER MCHY),2181.24,4.29
980,source-2,D480 (WHAYNE SUPPLY),2181.24,4.29
981,source-2,D500 (YANCEY BROS),2908.32,5.72
982,source-2,D600 (PIPELINE MACH),2181.24,4.29
983,source-2,E070 (BUTLER MCHY),2181.24,4.29
984,source-2,E130 (FOLEY EQUIPMENT),1454.16,2.86
985,source-2,E140 (HOLT TEXAS),1454.16,2.86
986,source-2,E250 (WAGNER EQ),727.08,1.43
987,source-2,E300 (MUSTANG MACH),1454.16,2.86
988,source-2,E30A (MUSTANG RENTAL),1454.16,2.86
989,source-2,E330 (NEBRASKA MCHY),2181.24,4.29
990,source-2,E459 (WARREN POWER),1454.16,2.86
991,source-2,E480 (WHEELER MCHY),727.08,1.43
992,source-2,E490 (WYOMING MCHY),1454.16,2.86
993,source-2,E500 (ZIEGLER),1454.16,2.86
994,source-2,H070 (CASHMAN EQ),727.08,1.43
995,source-2,H160 (EMPIRE MACHY),727.08,1.43
996,source-2,H190 (HAWTHORNE MACHY),727.08,1.43
997,source-2,H200 (HOLT OF CA),727.08,1.43
998,source-2,H270 (JOHNSON MCHY),727.08,1.43
999,source-2,H330 (N C MACHINERY),1454.16,2.86
1000,source-2,H360 (PETERSON MACH),1454.16,2.86
1001,source-2,H370 (PETERSON TR),1454.16,2.86
1002,source-2,H430 (QUINN COMPANY),727.08,1.43
1003,source-2,H510 (WESTERN ST. EQ.),1454.16,2.86
1004,source-2,N020 (TOROMONT CAT),4362.48,8.58
1005,source-2,N02P (BATTLEFIELD EQ),2908.32,5.72
1006,source-2,N030 (FINNING INT'L),2181.24,4.29
1007,source-2,N03C (RAYDON RENTALS),2181.24,4.29
1008,source-2,N050 (HEWITT EQ),2908.32,5.72
1009,source-2,N070 (KRAMER),1454.16,2.86
1010,source-2,N140 (ATLANTIC T AND E),3635.4,7.15
1011,source-2,N600 (PIPELINE MACH),2181.24,4.29
1012,source-2,P020 (TRACSA),2181.24,4.29
1013,source-2,P230 (MADISA),1454.16,2.86
1014,source-2,P280 (MATCO),1454.16,2.86
1015,source-2,V208 (WAGNER ASIA),1454.16,2.86
1016,source-2,N1,2908.32,5.72
1017,source-2,N2,2908.32,5.72
1018,source-2,N3,2181.24,4.29
1019,source-2,N4,1454.16,2.86
1020,source-2,N5,727.08,1.43
1021,source-2,N6,1454.16,2.86
1022,source-2,source-1,1454.16,2.86
1023,source-2,source-2,727.08,1.43
1024,source-2,source-3,1454.16,2.86
1025,source-2,source-4,1454.16,2.86
1026,source-2,source-5,2908.32,5.72
1027,source-2,source-6,2181.24,4.29
1028,source-2,source-7,2181.24,4.29
1029,source-2,source-8,2181.24,4.29
1030,source-2,source-10,2908.32,5.72
1031,source-2,source-11,2908.32,5.72
1032,source-3,B010 (ALBAN TRACTOR),2181.24,4.29
1033,source-3,B190 (GILES AND RANSOME),2181.24,4.29
1034,source-3,B030 (ALTORFER),1454.16,2.86
1035,source-3,B150 (CLEVELAND BROS),1454.16,2.86
1036,source-3,B160 (FABCO EQ),1454.16,2.86
1037,source-3,B170 (FOLEY INC.),2181.24,4.29
1038,source-3,B270 (MACALLISTER),1454.16,2.86
1039,source-3,B290 (MICHIGAN CAT),1454.16,2.86
1040,source-3,B330 (OHIO MACHINERY),1454.16,2.86
1041,source-3,B350 (PATTEN IND),1454.16,2.86
1042,source-3,B370 (H.O. PENN MCHY),2181.24,4.29
1043,source-3,B420 (MILTON CAT),2181.24,4.29
1044,source-3,D070 (BLANCHARD MCHY),2181.24,4.29
1045,source-3,D090 (CAROLINA TR),2181.24,4.29
1046,source-3,D100 (CARTER MCHY),2181.24,4.29
1047,source-3,D120 (FABICK TR),1454.16,2.86
1048,source-3,D180 (GREGORY POOLE),2181.24,4.29
1049,source-3,D241 (LOUISIANA MCHY),1454.16,2.86
1050,source-3,D260 (KELLY TRACTOR),2181.24,4.29
1051,source-3,D310 (J.A. RIGGS),1454.16,2.86
1052,source-3,D350 (RING POWER),2181.24,4.29
1053,source-3,D390 (STOWERS MCHY),2181.24,4.29
1054,source-3,D420 (THOMPSON MACH),2181.24,4.29
1055,source-3,D430 (THOMPSON TR),1454.16,2.86
1056,source-3,D440 (PUCKETT MACHY),2181.24,4.29
1057,source-3,D470 (CI WALKER MCHY),1454.16,2.86
1058,source-3,D480 (WHAYNE SUPPLY),1454.16,2.86
1059,source-3,D500 (YANCEY BROS),2181.24,4.29
1060,source-3,D600 (PIPELINE MACH),1454.16,2.86
1061,source-3,E070 (BUTLER MCHY),727.08,1.43
1062,source-3,E130 (FOLEY EQUIPMENT),727.08,1.43
1063,source-3,E140 (HOLT TEXAS),1454.16,2.86
1064,source-3,E250 (WAGNER EQ),1454.16,2.86
1065,source-3,E300 (MUSTANG MACH),1454.16,2.86
1066,source-3,E30A (MUSTANG RENTAL),1454.16,2.86
1067,source-3,E330 (NEBRASKA MCHY),727.08,1.43
1068,source-3,E459 (WARREN POWER),1454.16,2.86
1069,source-3,E480 (WHEELER MCHY),1454.16,2.86
1070,source-3,E490 (WYOMING MCHY),727.08,1.43
1071,source-3,E500 (ZIEGLER),1454.16,2.86
1072,source-3,H070 (CASHMAN EQ),1454.16,2.86
1073,source-3,H160 (EMPIRE MACHY),1454.16,2.86
1074,source-3,H190 (HAWTHORNE MACHY),1454.16,2.86
1075,source-3,H200 (HOLT OF CA),1454.16,2.86
1076,source-3,H270 (JOHNSON MCHY),1454.16,2.86
1077,source-3,H330 (N C MACHINERY),2181.24,4.29
1078,source-3,H360 (PETERSON MACH),2181.24,4.29
1079,source-3,H370 (PETERSON TR),2181.24,4.29
1080,source-3,H430 (QUINN COMPANY),1454.16,2.86
1081,source-3,H510 (WESTERN ST. EQ.),727.08,1.43
1082,source-3,N020 (TOROMONT CAT),3635.4,7.15
1083,source-3,N02P (BATTLEFIELD EQ),2181.24,4.29
1084,source-3,N030 (FINNING INT'L),2908.32,5.72
1085,source-3,N03C (RAYDON RENTALS),2908.32,5.72
1086,source-3,N050 (HEWITT EQ),1454.16,2.86
1087,source-3,N070 (KRAMER),1454.16,2.86
1088,source-3,N140 (ATLANTIC T AND E),2908.32,5.72
1089,source-3,N600 (PIPELINE MACH),1454.16,2.86
1090,source-3,P020 (TRACSA),2181.24,4.29
1091,source-3,P230 (MADISA),1454.16,2.86
1092,source-3,P260 (MAQSA),1454.16,2.86
1093,source-3,P280 (MATCO),2181.24,4.29
1094,source-3,R150 (PANAMERICAN),2181.24,4.29
1095,source-3,N1,2181.24,4.29
1096,source-3,N2,2181.24,4.29
1097,source-3,N3,2181.24,4.29
1098,source-3,N4,1454.16,2.86
1099,source-3,N5,1454.16,2.86
1100,source-3,N6,2181.24,4.29
1101,source-3,source-1,2181.24,4.29
1102,source-3,source-2,1454.16,2.86
1103,source-3,source-3,727.08,1.43
1104,source-3,source-4,1454.16,2.86
1105,source-3,source-5,2908.32,5.72
1106,source-3,source-6,1454.16,2.86
1107,source-3,source-7,1454.16,2.86
1108,source-3,source-8,2181.24,4.29
1109,source-3,source-10,2181.24,4.29
1110,source-3,source-11,2181.24,4.29
1111,source-4,B010 (ALBAN TRACTOR),2181.24,4.29
1112,source-4,B190 (GILES AND RANSOME),2181.24,4.29
1113,source-4,B030 (ALTORFER),1454.16,2.86
1114,source-4,B150 (CLEVELAND BROS),1454.16,2.86
1115,source-4,B160 (FABCO EQ),1454.16,2.86
1116,source-4,B170 (FOLEY INC.),2181.24,4.29
1117,source-4,B270 (MACALLISTER),1454.16,2.86
1118,source-4,B290 (MICHIGAN CAT),1454.16,2.86
1119,source-4,B330 (OHIO MACHINERY),1454.16,2.86
1120,source-4,B350 (PATTEN IND),1454.16,2.86
1121,source-4,B370 (H.O. PENN MCHY),2181.24,4.29
1122,source-4,B420 (MILTON CAT),2181.24,4.29
1123,source-4,D070 (BLANCHARD MCHY),2181.24,4.29
1124,source-4,D090 (CAROLINA TR),2181.24,4.29
1125,source-4,D100 (CARTER MCHY),2181.24,4.29
1126,source-4,D120 (FABICK TR),1454.16,2.86
1127,source-4,D180 (GREGORY POOLE),2181.24,4.29
1128,source-4,D241 (LOUISIANA MCHY),727.08,1.43
1129,source-4,D260 (KELLY TRACTOR),2181.24,4.29
1130,source-4,D310 (J.A. RIGGS),1454.16,2.86
1131,source-4,D350 (RING POWER),2181.24,4.29
1132,source-4,D390 (STOWERS MCHY),2181.24,4.29
1133,source-4,D420 (THOMPSON MACH),2181.24,4.29
1134,source-4,D430 (THOMPSON TR),1454.16,2.86
1135,source-4,D440 (PUCKETT MACHY),2181.24,4.29
1136,source-4,D470 (CI WALKER MCHY),1454.16,2.86
1137,source-4,D480 (WHAYNE SUPPLY),1454.16,2.86
1138,source-4,D500 (YANCEY BROS),2181.24,4.29
1139,source-4,D600 (PIPELINE MACH),727.08,1.43
1140,source-4,E070 (BUTLER MCHY),1454.16,2.86
1141,source-4,E130 (FOLEY EQUIPMENT),1454.16,2.86
1142,source-4,E140 (HOLT TEXAS),727.08,1.43
1143,source-4,E250 (WAGNER EQ),1454.16,2.86
1144,source-4,E300 (MUSTANG MACH),727.08,1.43
1145,source-4,E30A (MUSTANG RENTAL),727.08,1.43
1146,source-4,E330 (NEBRASKA MCHY),1454.16,2.86
1147,source-4,E459 (WARREN POWER),727.08,1.43
1148,source-4,E480 (WHEELER MCHY),1454.16,2.86
1149,source-4,E490 (WYOMING MCHY),1454.16,2.86
1150,source-4,E500 (ZIEGLER),1454.16,2.86
1151,source-4,H070 (CASHMAN EQ),1454.16,2.86
1152,source-4,H160 (EMPIRE MACHY),1454.16,2.86
1153,source-4,H190 (HAWTHORNE MACHY),1454.16,2.86
1154,source-4,H200 (HOLT OF CA),1454.16,2.86
1155,source-4,H270 (JOHNSON MCHY),1454.16,2.86
1156,source-4,H330 (N C MACHINERY),2908.32,5.72
1157,source-4,H360 (PETERSON MACH),2908.32,5.72
1158,source-4,H370 (PETERSON TR),2908.32,5.72
1159,source-4,H430 (QUINN COMPANY),1454.16,2.86
1160,source-4,H510 (WESTERN ST. EQ.),2181.24,4.29
1161,source-4,N020 (TOROMONT CAT),2181.24,4.29
1162,source-4,N02P (BATTLEFIELD EQ),2181.24,4.29
1163,source-4,N030 (FINNING INT'L),3635.4,7.15
1164,source-4,N03C (RAYDON RENTALS),3635.4,7.15
1165,source-4,N050 (HEWITT EQ),727.08,1.43
1166,source-4,N070 (KRAMER),2181.24,4.29
1167,source-4,N140 (ATLANTIC T AND E),2908.32,5.72
1168,source-4,N600 (PIPELINE MACH),2181.24,4.29
1169,source-4,P020 (TRACSA),1454.16,2.86
1170,source-4,P230 (MADISA),727.08,1.43
1171,source-4,P260 (MAQSA),727.08,1.43
1172,source-4,P280 (MATCO),1454.16,2.86
1173,source-4,P380 (GENTRAC),2908.32,5.72
1174,source-4,R150 (PANAMERICAN),2181.24,4.29
1175,source-4,V208 (WAGNER ASIA),1454.16,2.86
1176,source-4,N1,1454.16,2.86
1177,source-4,N2,2181.24,4.29
1178,source-4,N3,2181.24,4.29
1179,source-4,N4,2181.24,4.29
1180,source-4,N5,2181.24,4.29
1181,source-4,N6,2908.32,5.72
1182,source-4,source-1,2181.24,4.29
1183,source-4,source-2,1454.16,2.86
1184,source-4,source-3,1454.16,2.86
1185,source-4,source-4,727.08,1.43
1186,source-4,source-5,2181.24,4.29
1187,source-4,source-6,2181.24,4.29
1188,source-4,source-7,1454.16,2.86
1189,source-4,source-8,1454.16,2.86
1190,source-4,source-10,2181.24,4.29
1191,source-4,source-11,2181.24,4.29
1192,source-5,B010 (ALBAN TRACTOR),2908.32,5.72
1193,source-5,B190 (GILES AND RANSOME),2908.32,5.72
1194,source-5,B030 (ALTORFER),2181.24,4.29
1195,source-5,B150 (CLEVELAND BROS),2181.24,4.29
1196,source-5,B160 (FABCO EQ),2908.32,5.72
1197,source-5,B170 (FOLEY INC.),2908.32,5.72
1198,source-5,B270 (MACALLISTER),2181.24,4.29
1199,source-5,B290 (MICHIGAN CAT),2908.32,5.72
1200,source-5,B330 (OHIO MACHINERY),2181.24,4.29
1201,source-5,B350 (PATTEN IND),2181.24,4.29
1202,source-5,B370 (H.O. PENN MCHY),2908.32,5.72
1203,source-5,B420 (MILTON CAT),2908.32,5.72
1204,source-5,D070 (BLANCHARD MCHY),2908.32,5.72
1205,source-5,D090 (CAROLINA TR),2908.32,5.72
1206,source-5,D100 (CARTER MCHY),2908.32,5.72
1207,source-5,D120 (FABICK TR),2181.24,4.29
1208,source-5,D180 (GREGORY POOLE),2908.32,5.72
1209,source-5,D241 (LOUISIANA MCHY),1454.16,2.86
1210,source-5,D260 (KELLY TRACTOR),2181.24,4.29
1211,source-5,D310 (J.A. RIGGS),2181.24,4.29
1212,source-5,D350 (RING POWER),2181.24,4.29
1213,source-5,D390 (STOWERS MCHY),2181.24,4.29
1214,source-5,D420 (THOMPSON MACH),2181.24,4.29
1215,source-5,D430 (THOMPSON TR),2181.24,4.29
1216,source-5,D440 (PUCKETT MACHY),2181.24,4.29
1217,source-5,D470 (CI WALKER MCHY),2181.24,4.29
1218,source-5,D480 (WHAYNE SUPPLY),2181.24,4.29
1219,source-5,D500 (YANCEY BROS),2181.24,4.29
1220,source-5,D600 (PIPELINE MACH),1454.16,2.86
1221,source-5,E070 (BUTLER MCHY),2181.24,4.29
1222,source-5,E130 (FOLEY EQUIPMENT),2181.24,4.29
1223,source-5,E140 (HOLT TEXAS),1454.16,2.86
1224,source-5,E250 (WAGNER EQ),2181.24,4.29
1225,source-5,E300 (MUSTANG MACH),1454.16,2.86
1226,source-5,E30A (MUSTANG RENTAL),1454.16,2.86
1227,source-5,E330 (NEBRASKA MCHY),2181.24,4.29
1228,source-5,E459 (WARREN POWER),1454.16,2.86
1229,source-5,E480 (WHEELER MCHY),2181.24,4.29
1230,source-5,E490 (WYOMING MCHY),2181.24,4.29
1231,source-5,E500 (ZIEGLER),2908.32,5.72
1232,source-5,H070 (CASHMAN EQ),2181.24,4.29
1233,source-5,H160 (EMPIRE MACHY),2181.24,4.29
1234,source-5,H190 (HAWTHORNE MACHY),2181.24,4.29
1235,source-5,H200 (HOLT OF CA),2181.24,4.29
1236,source-5,H270 (JOHNSON MCHY),2181.24,4.29
1237,source-5,H330 (N C MACHINERY),2908.32,5.72
1238,source-5,H360 (PETERSON MACH),2908.32,5.72
1239,source-5,H370 (PETERSON TR),2908.32,5.72
1240,source-5,H430 (QUINN COMPANY),2181.24,4.29
1241,source-5,H510 (WESTERN ST. EQ.),2181.24,4.29
1242,source-5,N020 (TOROMONT CAT),3635.4,7.15
1243,source-5,N02P (BATTLEFIELD EQ),2908.32,5.72
1244,source-5,N030 (FINNING INT'L),3635.4,7.15
1245,source-5,N03C (RAYDON RENTALS),3635.4,7.15
1246,source-5,N050 (HEWITT EQ),1454.16,2.86
1247,source-5,N070 (KRAMER),3635.4,7.15
1248,source-5,N140 (ATLANTIC T AND E),3635.4,7.15
1249,source-5,N600 (PIPELINE MACH),2908.32,5.72
1250,source-5,P020 (TRACSA),727.08,1.43
1251,source-5,P230 (MADISA),1454.16,2.86
1252,source-5,P260 (MAQSA),1454.16,2.86
1253,source-5,P280 (MATCO),1454.16,2.86
1254,source-5,R150 (PANAMERICAN),2908.32,5.72
1255,source-5,N1,3635.4,7.15
1256,source-5,N2,2908.32,5.72
1257,source-5,N3,2181.24,4.29
1258,source-5,N4,1454.16,2.86
1259,source-5,N5,2181.24,4.29
1260,source-5,N6,2908.32,5.72
1261,source-5,source-1,3635.4,7.15
1262,source-5,source-2,2908.32,5.72
1263,source-5,source-3,2908.32,5.72
1264,source-5,source-4,2181.24,4.29
1265,source-5,source-5,727.08,1.43
1266,source-5,source-6,3635.4,7.15
1267,source-5,source-7,2908.32,5.72
1268,source-5,source-8,2908.32,5.72
1269,source-5,source-10,3635.4,7.15
1270,source-5,source-11,3635.4,7.15
1271,source-6,B010 (ALBAN TRACTOR),2181.24,4.29
1272,source-6,B190 (GILES AND RANSOME),1454.16,2.86
1273,source-6,B030 (ALTORFER),1454.16,2.86
1274,source-6,B150 (CLEVELAND BROS),1454.16,2.86
1275,source-6,B160 (FABCO EQ),727.08,1.43
1276,source-6,B170 (FOLEY INC.),1454.16,2.86
1277,source-6,B270 (MACALLISTER),1454.16,2.86
1278,source-6,B290 (MICHIGAN CAT),727.08,1.43
1279,source-6,B330 (OHIO MACHINERY),1454.16,2.86
1280,source-6,B350 (PATTEN IND),1454.16,2.86
1281,source-6,B370 (H.O. PENN MCHY),1454.16,2.86
1282,source-6,B420 (MILTON CAT),1454.16,2.86
1283,source-6,D070 (BLANCHARD MCHY),2181.24,4.29
1284,source-6,D090 (CAROLINA TR),2181.24,4.29
1285,source-6,D100 (CARTER MCHY),2181.24,4.29
1286,source-6,D120 (FABICK TR),1454.16,2.86
1287,source-6,D180 (GREGORY POOLE),2181.24,4.29
1288,source-6,D241 (LOUISIANA MCHY),1454.16,2.86
1289,source-6,D260 (KELLY TRACTOR),2181.24,4.29
1290,source-6,D310 (J.A. RIGGS),1454.16,2.86
1291,source-6,D350 (RING POWER),2181.24,4.29
1292,source-6,D390 (STOWERS MCHY),2181.24,4.29
1293,source-6,D420 (THOMPSON MACH),2181.24,4.29
1294,source-6,D430 (THOMPSON TR),1454.16,2.86
1295,source-6,D440 (PUCKETT MACHY),2181.24,4.29
1296,source-6,D470 (CI WALKER MCHY),1454.16,2.86
1297,source-6,D480 (WHAYNE SUPPLY),1454.16,2.86
1298,source-6,D500 (YANCEY BROS),2181.24,4.29
1299,source-6,D600 (PIPELINE MACH),1454.16,2.86
1300,source-6,E070 (BUTLER MCHY),1454.16,2.86
1301,source-6,E130 (FOLEY EQUIPMENT),1454.16,2.86
1302,source-6,E140 (HOLT TEXAS),1454.16,2.86
1303,source-6,E250 (WAGNER EQ),2181.24,4.29
1304,source-6,E300 (MUSTANG MACH),1454.16,2.86
1305,source-6,E30A (MUSTANG RENTAL),1454.16,2.86
1306,source-6,E330 (NEBRASKA MCHY),1454.16,2.86
1307,source-6,E459 (WARREN POWER),1454.16,2.86
1308,source-6,E480 (WHEELER MCHY),2181.24,4.29
1309,source-6,E490 (WYOMING MCHY),1454.16,2.86
1310,source-6,E500 (ZIEGLER),727.08,1.43
1311,source-6,H070 (CASHMAN EQ),2181.24,4.29
1312,source-6,H160 (EMPIRE MACHY),2181.24,4.29
1313,source-6,H190 (HAWTHORNE MACHY),2181.24,4.29
1314,source-6,H200 (HOLT OF CA),2181.24,4.29
1315,source-6,H270 (JOHNSON MCHY),2181.24,4.29
1316,source-6,H330 (N C MACHINERY),2908.32,5.72
1317,source-6,H360 (PETERSON MACH),2908.32,5.72
1318,source-6,H370 (PETERSON TR),2908.32,5.72
1319,source-6,H430 (QUINN COMPANY),2181.24,4.29
1320,source-6,H510 (WESTERN ST. EQ.),2181.24,4.29
1321,source-6,N020 (TOROMONT CAT),1454.16,2.86
1322,source-6,N02P (BATTLEFIELD EQ),1454.16,2.86
1323,source-6,N030 (FINNING INT'L),3635.4,7.15
1324,source-6,N03C (RAYDON RENTALS),3635.4,7.15
1325,source-6,N050 (HEWITT EQ),1454.16,2.86
1326,source-6,N070 (KRAMER),2181.24,4.29
1327,source-6,N140 (ATLANTIC T AND E),2181.24,4.29
1328,source-6,N600 (PIPELINE MACH),1454.16,2.86
1329,source-6,P020 (TRACSA),2908.32,5.72
1330,source-6,P230 (MADISA),1454.16,2.86
1331,source-6,P260 (MAQSA),1454.16,2.86
1332,source-6,P280 (MATCO),2908.32,5.72
1333,source-6,P380 (GENTRAC),2908.32,5.72
1334,source-6,R150 (PANAMERICAN),2181.24,4.29
1335,source-6,V208 (WAGNER ASIA),1454.16,2.86
1336,source-6,N1,1454.16,2.86
1337,source-6,N2,2181.24,4.29
1338,source-6,N3,2181.24,4.29
1339,source-6,N4,2181.24,4.29
1340,source-6,N5,2181.24,4.29
1341,source-6,N6,2908.32,5.72
1342,source-6,source-1,2908.32,5.72
1343,source-6,source-2,2181.24,4.29
1344,source-6,source-3,1454.16,2.86
1345,source-6,source-4,2181.24,4.29
1346,source-6,source-5,3635.4,7.15
1347,source-6,source-6,727.08,1.43
1348,source-6,source-7,1454.16,2.86
1349,source-6,source-8,2181.24,4.29
1350,source-6,source-10,1454.16,2.86
1351,source-6,source-11,2181.24,4.29
1352,source-7,B010 (ALBAN TRACTOR),1454.16,2.86
1353,source-7,B190 (GILES AND RANSOME),1454.16,2.86
1354,source-7,B030 (ALTORFER),727.08,1.43
1355,source-7,B150 (CLEVELAND BROS),727.08,1.43
1356,source-7,B160 (FABCO EQ),1454.16,2.86
1357,source-7,B170 (FOLEY INC.),1454.16,2.86
1358,source-7,B270 (MACALLISTER),727.08,1.43
1359,source-7,B290 (MICHIGAN CAT),1454.16,2.86
